label,pair,treatment,sp.cd,leaf.a,dry.m,leaftk.1,leaftk.2,leaftk.3
erc05,3,b,ERCUC4,,,0.23,0.14,0.1
erc05,3,b,ERCUC4,,,0.21,0.22,0.12
erc07,4,b,ERCUC4,12.189,0.08,0.14,0.18,0.13
erc07,4,b,ERCUC4,,,0.15,0.23,0.19
erc07,4,b,ERCUC4,,,0.09,0.15,0.09
erc09,5,b,ERCUC4,9.79,0.05,0.14,0.13,0.18
erc09,5,b,ERCUC4,,,0.18,0.11,0.12
erc09,5,b,ERCUC4,,,0.11,0.11,0.16
erc11,6,b,ERCUC4,10.484,0.07,0.18,0.15,0.11
erc11,6,b,ERCUC4,,,0.14,0.14,0.1
erc11,6,b,ERCUC4,,,0.14,0.13,0.12
erc13,7,b,ERCUC4,10.565,0.1,0.23,0.22,0.1
erc13,7,b,ERCUC4,,,0.16,0.17,0.12
erc13,7,b,ERCUC4,,,0.16,0.16,0.14
erc15,8,b,ERCUC4,8.206,0.05,0.1,0.13,0.13
erc15,8,b,ERCUC4,,,0.09,0.12,0.11
erc15,8,b,ERCUC4,,,0.18,0.16,0.12
erc17,9,b,ERCUC4,7.169,0.06,0.12,0.13,0.18
erc17,9,b,ERCUC4,,,0.1,0.16,0.17
erc17,9,b,ERCUC4,,,0.15,0.12,0.14
erc19,10,b,ERCUC4,6.447,0.04,0.2,0.17,0.23
erc19,10,b,ERCUC4,,,0.12,0.18,0.13
erc19,10,b,ERCUC4,,,0.23,0.19,0.13
erc21,11,b,ERCUC4,8.596,0.08,0.15,0.12,0.12
erc21,11,b,ERCUC4,,,0.26,0.2,0.14
erc21,11,b,ERCUC4,,,0.21,0.22,0.26
erc23,12,b,ERCUC4,9.62,0.08,0.17,0.15,0.13
erc23,12,b,ERCUC4,,,0.21,0.18,0.22
erc23,12,b,ERCUC4,,,0.2,0.19,0.19
erc25,13,b,ERCUC4,10.955,0.08,0.11,0.16,0.14
erc25,13,b,ERCUC4,,,0.1,0.1,0.14
erc25,13,b,ERCUC4,,,0.1,0.1,0.12
erc27,14,b,ERCUC4,7.785,0.06,0.12,0.13,0.12
erc27,14,b,ERCUC4,,,0.18,0.16,0.19
erc27,14,b,ERCUC4,,,0.14,0.06,0.11
erc29,15,b,ERCUC4,17.432,0.09,0.09,0.1,0.07
erc29,15,b,ERCUC4,,,0.07,0.1,0.07
erc29,15,b,ERCUC4,,,0.08,0.1,0.15
