sp.id,pair,treatment,lat,lon,ele,date,area,
sn09,4,b,36.07286,-104.33891,1782,6/11/16,kng,
sn10,4,u,36.07288,-104.33889,1783,6/11/16,kng,
sn11,5,b,36.07245,-104.33846,1784,6/11/16,kng,
sn12,5,u,36.07244,-104.33846,1784,6/11/16,kng,
sn13,6,b,36.07307,-104.29638,1812,6/11/16,kng,
sn14,6,u,36.07307,-104.29636,1815,6/11/16,kng,
sn15,7,b,36.07307,-104.29072,1810,6/11/16,kng,
sn16,7,u,36.07336,-104.29073,1813,6/11/16,kng,
sn17,8,b,36.07333,-104.28506,1810,6/11/16,kng,
sn18,8,u,36.07333,-104.28505,1814,6/11/16,kng,
sn19,9,b,36.07336,-104.28377,1812,6/11/16,kng,
sn20,9,u,36.07335,-104.28376,1811,6/11/16,kng,
sn21,10,b,36.08096,-104.25017,1871,6/17/16,kng,
sn22,10,u,36.08095,-104.25015,1870,6/17/16,kng,
sn23,11,b,36.08123,-104.25412,1867,6/17/16,kng,
sn24,11,u,36.08123,-104.25412,1866,6/17/16,kng,
sn25,12,b,36.08052,-104.25813,1849,6/17/16,kng,
sn26,12,u,36.08052,-104.25816,1848,6/17/16,kng,
sn27,13,b,36.08041,-104.26865,1844,6/17/16,kng,
sn28,13,u,36.08043,-104.26863,1847,6/17/16,kng,
sn29,14,b,36.08128,-104.26862,1847,6/17/16,kng,
sn30,14,u,36.0813,-104.26859,1847,6/17/16,kng,
sn31,15,b,36.08161,-104.2718,1829,6/17/16,kng,
sn32,15,u,36.08162,-104.2718,1828,6/17/16,kng,
