label,pair,treatment,sp.cd,field.f,field.d,burn.f,burn.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3
bi11,6,b,BRINI,15.13,7.44,,,10,69,50,,9.5,11.5,10,6.3,7,6,,7.5,3.5,10,2.5,3,14
bi12,6,u,BRINI,,,,,14,62,48,7.29,8,6.5,6.5,4.5,6,7,11.85,6,3,7.5,5,6,10
bi13,7,b,BRINI,6.86,3.75,,,14,77,53,,13.5,12,11.5,5.5,3.5,3.5,,8,12.5,17,3,3.5,5
bi14,7,u,BRINI,,,,,19,74,59,8.84,14.5,13,9.2,7.5,5,2.5,9.46,10,8,25,3.5,5,6.5
bi15,8,b,BRINI,9.96,4.91,,,15,57,37,,14,12,8.5,7,6,5.5,,7.5,8.5,13.5,4,3,5
bi16,8,u,BRINI,,,,,17,75,53,8.12,9,7,7.5,4,4.5,4.5,16.1,8.5,4.8,12,4,3,6
bi17,9,b,BRINI,15.54,7.81,,,27,64,40,,13.5,9,10,8,11,6,,6,6.5,10,2.5,5,4.5
bi18,9,u,BRINI,,,,,16,66,50,6.04,7,7,7.5,4,3.5,4,10.23,7,7.5,12.5,4,2.5,9.5
bi19,10,b,BRINI,8.7,4.43,,,29,70,50,,12,12,10,6,6.5,4.2,,10,6,15.7,3,1.5,11
bi20,10,u,BRINI,,,,,17,84,70,8.63,12,10,7.5,6,5.5,6.5,21.5,7.5,5.5,18,5,5,8
bi21,11,b,BRINI,8.79,4.12,,,12,74,50,,11.5,7.5,6.4,5,3,2.5,,4,4.5,6,1.5,2,4
bi22,11,u,BRINI,,,,,14,75,55,15.59,11.5,11.5,10.5,10,7,7.5,16.81,4.5,7,11,5.5,5.5,11
bi23,12,b,BRINI,16.27,7.18,3.18,3.09,17,76,56,,7,7,6.8,7.5,5.8,5,,7.2,11,11,3,6,4.5
bi24,12,u,BRINI,,,,,18,75,55,9.66,11,10,10,6,9,6,12.68,8,5.5,7,5.5,3.5,7
bi25,13,b,BRINI,9.22,4.06,,,27,69,43,,9.5,8,7,8,6.5,5.5,,9,13,23,6,2,12.5
bi26,13,u,BRINI,,,,,27,69,54,16.28,11.5,10.5,9,9,7,7,16.84,10.5,11.3,17,3.8,6.5,5
bi27,14,b,BRINI,11.05,5.25,1.87,2.07,27,69,47,,17,17.5,17,7.5,6,6.5,,14,13.5,22,5,2,13
bi28,14,u,BRINI,,,,,25,83,67,14.81,11,10.5,9.5,5,5,4.5,19.16,7,5,12.5,3.7,3,7
bi29,15,b,BRINI,10.38,3.03,,,11,90,68,,10,14,14,6.5,7.5,7.5,,13,9,24,7,N/A,12.5
bi30,15,u,BRINI,,,,,13,85,64,16.37,12,10,9,11,9,9,17.95,6,11.5,27,5.5,3,5
bi33,16,b,BRINI,4.84,3.03,,,16,75,55,,10.5,8.5,8.5,5,5,4,,7,12,23,2,2,7
bi34,16,u,BRINI,,,,,15,78,64,8.89,11,9,7,5,5,5,14.13,5.5,4,11,5,6.5,8
cs01,1,b,CHLA5,6.08,2.59,,,14,62,56,,10,9.5,8.8,3.8,5,7,,8,19,30,8.5,7,20
cs01r,1r,b,CHLA5,,,,,27,113,86,,11.5,10,9.7,6.5,6,5,,15.5,22,40,8,23,38
cs02,1,u,CHLA5,,,,,8,69,59,2.32,6,5.5,3.3,2.5,3.7,3.8,7.39,3.5,7.5,14.5,5,6,12
cs02r,1r,u,CHLA5,,,,,33,94,76,5.08,12.4,10,8.3,6.6,5.2,4.7,25.34,19,28,40,6.7,9,22
cs03,2,b,CHLA5,31.71,13,,,7,113,100,,5,6.4,6.7,3.5,5,4.5,,2.5,6,28.5,4,5,22
cs04,2,u,CHLA5,,,,,6,81,58,1.73,6.5,5,5,2,2.5,2,8.27,3.5,4,23,4,4,12
cs05,3,b,CHLA5,27.7,9.53,,,19,90,72,,6.8,6,10.5,6.4,7,8.5,,10,27,43,6,21.5,20
cs06,3,u,CHLA5,,,,,19,71,61,4.49,10.5,8.5,9,8,7.5,7,21.45,23,22,28,18,17,27
cs07,4,b,CHLA5,8.43,2.71,,,16,85,63,,10,8,7.5,6,5,5.5,,9,15,45,6.5,31,16
cs08,4,u,CHLA5,,,,,9,84,62,2.41,7.5,6.8,5.5,7,4.4,3.5,11.94,4.5,19.5,82,5,31.5,41
