time,mass
2016-06-08 11:57:19,"122	ec13	233.0382320881	2310050.0000000000"
2016-06-08 11:57:20,"127	ec13	234.0425319672	2309970.0000000000"
2016-06-08 11:57:21,"122	ec13	235.0377879143	2310050.0000000000"
2016-06-08 11:57:22,"152	ec13	236.0677769184	2310080.0000000000"
2016-06-08 11:57:23,"135	ec13	237.0509889126	2309960.0000000000"
2016-06-08 11:57:24,"124	ec13	238.0402009487	2310140.0000000000"
2016-06-08 11:57:25,"121	ec13	239.0373399258	2309990.0000000000"
2016-06-08 11:57:26,"123	ec13	240.0384879112	2310160.0000000000"
2016-06-08 11:57:27,"149	ec13	241.0646290779	2309840.0000000000"
2016-06-08 11:57:28,"132	ec13	242.0478498936	2309610.0000000000"
2016-06-08 11:57:29,"126	ec13	243.0419650078	2309000.0000000000"
2016-06-08 11:57:30,"121	ec13	244.0371520519	2309450.0000000000"
2016-06-08 11:57:31,"124	ec13	245.0402879715	2309330.0000000000"
2016-06-08 11:57:32,"122	ec13	246.0375669003	2309410.0000000000"
2016-06-08 11:57:33,"161	ec13	247.0767500401	2309540.0000000000"
2016-06-08 11:57:34,"143	ec13	248.0588998795	2309810.0000000000"
2016-06-08 11:57:35,"127	ec13	249.0430939198	2309460.0000000000"
2016-06-08 11:57:36,"126	ec13	250.0422260761	2309350.0000000000"
2016-06-08 11:57:37,"121	ec13	251.0373890400	2309730.0000000000"
2016-06-08 11:57:38,"125	ec13	252.0413980484	2310130.0000000000"
2016-06-08 11:57:39,"137	ec13	253.0526230335	2310390.0000000000"
2016-06-08 11:57:40,"124	ec13	254.0398058891	2310010.0000000000"
2016-06-08 11:57:41,"121	ec13	255.0370140076	2309880.0000000000"
2016-06-08 11:57:42,"122	ec13	256.0382299423	2309380.0000000000"
2016-06-08 11:57:43,"127	ec13	257.0434038639	2309140.0000000000"
2016-06-08 11:57:44,"123	ec13	258.0385708809	2309230.0000000000"
2016-06-08 11:57:45,"152	ec13	259.0677809715	2309360.0000000000"
2016-06-08 11:57:46,"135	ec13	260.0509459972	2309450.0000000000"
2016-06-08 11:57:47,"124	ec13	261.0401799679	2308930.0000000000"
2016-06-08 11:57:48,"121	ec13	262.0372939110	2309160.0000000000"
2016-06-08 11:57:49,"124	ec13	263.0394759178	2308920.0000000000"
2016-06-08 11:57:50,"146	ec13	264.0615949631	2308670.0000000000"
2016-06-08 11:57:51,"128	ec13	265.0437750816	2308940.0000000000"
2016-06-08 11:57:52,"126	ec13	266.0419399738	2309140.0000000000"
2016-06-08 11:57:53,"121	ec13	267.0371310711	2308980.0000000000"
2016-06-08 11:57:54,"125	ec13	268.0412268639	2309490.0000000000"
2016-06-08 11:57:55,"122	ec13	269.0374579430	2311520.0000000000"
2016-06-08 11:57:56,"161	ec13	270.0765740871	2311660.0000000000"
2016-06-08 11:57:57,"144	ec13	271.0597949028	2309450.0000000000"
2016-06-08 11:57:58,"126	ec13	272.0419449806	2315580.0000000000"
2016-06-08 11:57:59,"127	ec13	273.0430998802	2316450.0000000000"
2016-06-08 11:58:00,"121	ec13	274.0372068882	2315290.0000000000"
2016-06-08 11:58:01,"126	ec13	275.0423810482	2313410.0000000000"
2016-06-08 11:58:02,"137	ec13	276.0525128841	2313910.0000000000"
2016-06-08 11:58:03,"124	ec13	277.0397839546	2310980.0000000000"
2016-06-08 11:58:04,"121	ec13	278.0368280411	2311520.0000000000"
2016-06-08 11:58:05,"123	ec13	279.0389778614	2311620.0000000000"
2016-06-08 11:58:06,"127	ec13	280.0431740284	2310520.0000000000"
2016-06-08 11:58:07,"122	ec13	281.0383110046	2310170.0000000000"
2016-06-08 11:58:08,"152	ec13	282.0684039593	2309540.0000000000"
