time,mass
2016-06-22 10:28:22,"709		426.0371079445	1644880.0000000000"
2016-06-22 10:28:23,"714		427.0422430038	1646180.0000000000"
2016-06-22 10:28:24,"709		428.0375449657	1641790.0000000000"
2016-06-22 10:28:25,"713		429.0416669846	1640160.0000000000"
2016-06-22 10:28:26,"743		430.0709309578	1641560.0000000000"
2016-06-22 10:28:27,"726		431.0541729927	1643710.0000000000"
2016-06-22 10:28:28,"709		432.0374310017	1647920.0000000000"
2016-06-22 10:28:29,"709		433.0376188755	1643560.0000000000"
2016-06-22 10:28:30,"715		434.0428159237	1643620.0000000000"
2016-06-22 10:28:31,"709		435.0370700359	1646030.0000000000"
2016-06-22 10:28:32,"723		436.0512468815	1647800.0000000000"
2016-06-22 10:28:33,"708		437.0366928577	1646220.0000000000"
2016-06-22 10:28:34,"712		438.0398879051	1644770.0000000000"
2016-06-22 10:28:35,"709		439.0371110439	1643760.0000000000"
2016-06-22 10:28:36,"710		440.0383548737	1644090.0000000000"
2016-06-22 10:28:37,"752		441.0805270672	1644410.0000000000"
2016-06-22 10:28:38,"734		442.0627169609	1646250.0000000000"
2016-06-22 10:28:39,"718		443.0459189415	1644370.0000000000"
2016-06-22 10:28:40,"709		444.0371580124	1642910.0000000000"
2016-06-22 10:28:41,"712		445.0403048992	1642500.0000000000"
2016-06-22 10:28:42,"709		446.0374538898	1644940.0000000000"
2016-06-22 10:28:43,"728		447.0566799641	1644380.0000000000"
2016-06-22 10:28:44,"715		448.0429160595	1644170.0000000000"
2016-06-22 10:28:45,"710		449.0381579399	1642120.0000000000"
2016-06-22 10:28:46,"714		450.0423870087	1642690.0000000000"
2016-06-22 10:28:47,"709		451.0376808643	1643770.0000000000"
2016-06-22 10:28:48,"714		452.0418419838	1645210.0000000000"
2016-06-22 10:28:49,"744		453.0721080303	1644520.0000000000"
2016-06-22 10:28:50,"728		454.0560910702	1642890.0000000000"
2016-06-22 10:28:51,"709		455.0374329090	1643140.0000000000"
2016-06-22 10:28:52,"710		456.0386569500	1643480.0000000000"
2016-06-22 10:28:53,"709		457.0368869305	1643110.0000000000"
2016-06-22 10:28:54,"709		458.0371088982	1643100.0000000000"
2016-06-22 10:28:55,"720		459.0483520031	1643300.0000000000"
2016-06-22 10:28:56,"709		460.0375368595	1643120.0000000000"
2016-06-22 10:28:57,"712		461.0407528877	1642260.0000000000"
2016-06-22 10:28:58,"709		462.0368659496	1643270.0000000000"
2016-06-22 10:28:59,"711		463.0391180515	1642730.0000000000"
2016-06-22 10:29:00,"709		464.0372879505	1642320.0000000000"
2016-06-22 10:29:01,"735		465.0635509491	1643320.0000000000"
2016-06-22 10:29:02,"718		466.0467109680	1642550.0000000000"
2016-06-22 10:29:03,"709		467.0369420052	1642350.0000000000"
2016-06-22 10:29:04,"713		468.0412030220	1641680.0000000000"
2016-06-22 10:29:05,"709		469.0374848843	1642450.0000000000"
2016-06-22 10:29:06,"732		470.0607059002	1643260.0000000000"
2016-06-22 10:29:07,"716		471.0438928604	1642720.0000000000"
2016-06-22 10:29:08,"710		472.0381159782	1641980.0000000000"
2016-06-22 10:29:09,"715		473.0434160233	1640340.0000000000"
2016-06-22 10:29:10,"709		474.0376169682	1640200.0000000000"
2016-06-22 10:29:11,"714		475.0418188572	1641050.0000000000"
2016-06-22 10:29:12,"744		476.0720050335	1641120.0000000000"
2016-06-22 10:29:13,"727		477.0552179813	1641270.0000000000"
2016-06-22 10:29:14,"709		478.0374588966	1642130.0000000000"
2016-06-22 10:29:15,"710		479.0386669636	1641660.0000000000"
2016-06-22 10:29:16,"716		480.0438458920	1641790.0000000000"
2016-06-22 10:29:17,"710		481.0381200314	1644360.0000000000"
2016-06-22 10:29:18,"724		482.0523278713	1645110.0000000000"
2016-06-22 10:29:19,"709		483.0376238823	1650450.0000000000"
2016-06-22 10:29:20,"713		484.0409069061	1643190.0000000000"
2016-06-22 10:29:21,"709		485.0372109413	1643160.0000000000"
2016-06-22 10:29:22,"711		486.0395328999	1641300.0000000000"
2016-06-22 10:29:23,"709		487.0376949310	1642560.0000000000"
2016-06-22 10:29:24,"736		488.0638298988	1641420.0000000000"
2016-06-22 10:29:25,"719		489.0471220016	1640380.0000000000"
2016-06-22 10:29:26,"709		490.0373110771	1643430.0000000000"
2016-06-22 10:29:27,"713		491.0414969921	1644130.0000000000"
2016-06-22 10:29:28,"709		492.0377199650	1648450.0000000000"
2016-06-22 10:29:29,"730		493.0579199791	1646140.0000000000"
2016-06-22 10:29:30,"716		494.0441820621	1641450.0000000000"
2016-06-22 10:29:31,"710		495.0383930206	1642460.0000000000"
2016-06-22 10:29:32,"715		496.0437030792	1640150.0000000000"
2016-06-22 10:29:33,"709		497.0369398594	1640370.0000000000"
2016-06-22 10:29:34,"714		498.0421810150	1639650.0000000000"
2016-06-22 10:29:35,"744		499.0723710060	1639950.0000000000"
2016-06-22 10:29:36,"727		500.0556190014	1639980.0000000000"
2016-06-22 10:29:37,"710		501.0378570557	1641070.0000000000"
2016-06-22 10:29:38,"711		502.0391089916	1641070.0000000000"
2016-06-22 10:29:39,"709		503.0372240543	1640870.0000000000"
2016-06-22 10:29:40,"710		504.0384600163	1640700.0000000000"
2016-06-22 10:29:41,"724		505.0527360439	1640270.0000000000"
2016-06-22 10:29:42,"709		506.0369229317	1639190.0000000000"
2016-06-22 10:29:43,"713		507.0411250591	1639200.0000000000"
2016-06-22 10:29:44,"709		508.0373878479	1639060.0000000000"
2016-06-22 10:29:45,"711		509.0396389961	1639410.0000000000"
2016-06-22 10:29:46,"709		510.0367898941	1640310.0000000000"
2016-06-22 10:29:47,"736		511.0640258789	1640470.0000000000"
2016-06-22 10:29:48,"719		512.0472149849	1639650.0000000000"
2016-06-22 10:29:49,"709		513.0374748707	1640860.0000000000"
2016-06-22 10:29:50,"713		514.0416200161	1640510.0000000000"
2016-06-22 10:29:51,"710		515.0378119946	1639660.0000000000"
2016-06-22 10:29:52,"734		516.0619540215	1637920.0000000000"
2016-06-22 10:29:53,"716		517.0442130566	1638300.0000000000"
2016-06-22 10:29:54,"710		518.0384180546	1638280.0000000000"
2016-06-22 10:29:55,"709		519.0376410484	1636320.0000000000"
2016-06-22 10:29:56,"709		520.0368049145	1636410.0000000000"
2016-06-22 10:29:57,"715		521.0430910587	1637730.0000000000"
2016-06-22 10:29:58,"745		522.0733339787	1639560.0000000000"
2016-06-22 10:29:59,"727		523.0555920601	1639380.0000000000"
2016-06-22 10:30:00,"711		524.0388560295	1640010.0000000000"
2016-06-22 10:30:01,"711		525.0390889645	1640750.0000000000"
2016-06-22 10:30:02,"709		526.0372819901	1640600.0000000000"
2016-06-22 10:30:03,"710		527.0385148525	1640180.0000000000"
2016-06-22 10:30:04,"725		528.0527849197	1640520.0000000000"
2016-06-22 10:30:05,"709		529.0370960236	1639720.0000000000"
2016-06-22 10:30:06,"713		530.0413129330	1638720.0000000000"
2016-06-22 10:30:07,"709		531.0375480652	1639630.0000000000"
2016-06-22 10:30:08,"712		532.0398418903	1639150.0000000000"
2016-06-22 10:30:09,"709		533.0370969772	1638300.0000000000"
2016-06-22 10:30:10,"736		534.0642590523	1638710.0000000000"
2016-06-22 10:30:11,"719		535.0474970341	1639790.0000000000"
2016-06-22 10:30:12,"709		536.0377628803	1638750.0000000000"
2016-06-22 10:30:13,"714		537.0419600010	1636410.0000000000"
2016-06-22 10:30:14,"709		538.0372169018	1637190.0000000000"
2016-06-22 10:30:15,"733		539.0613238811	1637210.0000000000"
2016-06-22 10:30:16,"716		540.0445389748	1637160.0000000000"
2016-06-22 10:30:17,"710		541.0385859013	1637380.0000000000"
2016-06-22 10:30:18,"716		542.0438950062	1637370.0000000000"
2016-06-22 10:30:19,"710		543.0381269455	1638130.0000000000"
2016-06-22 10:30:20,"715		544.0432100296	1638570.0000000000"
2016-06-22 10:30:21,"745		545.0734019279	1634510.0000000000"
2016-06-22 10:30:22,"727		546.0556879044	1634390.0000000000"
2016-06-22 10:30:23,"711		547.0388958454	1636720.0000000000"
2016-06-22 10:30:24,"711		548.0390949249	1638550.0000000000"
2016-06-22 10:30:25,"709		549.0373430252	1638450.0000000000"
2016-06-22 10:30:26,"710		550.0385630131	1636760.0000000000"
2016-06-22 10:30:27,"725		551.0537719727	1638200.0000000000"
2016-06-22 10:30:28,"709		552.0370540619	1638930.0000000000"
2016-06-22 10:30:29,"713		553.0411899090	1637600.0000000000"
2016-06-22 10:30:30,"709		554.0374929905	1637610.0000000000"
2016-06-22 10:30:31,"712		555.0407228470	1637540.0000000000"
2016-06-22 10:30:32,"709		556.0369579792	1637170.0000000000"
2016-06-22 10:30:33,"737		557.0651600361	1636550.0000000000"
2016-06-22 10:30:34,"719		558.0474388599	1636120.0000000000"
2016-06-22 10:30:35,"709		559.0376429558	1636020.0000000000"
2016-06-22 10:30:36,"714		560.0418920517	1636990.0000000000"
2016-06-22 10:30:37,"709		561.0371439457	1637290.0000000000"
2016-06-22 10:30:38,"734		562.0623650551	1636850.0000000000"
2016-06-22 10:30:39,"717		563.0455880165	1636400.0000000000"
2016-06-22 10:30:40,"712		564.0397770405	1637110.0000000000"
2016-06-22 10:30:41,"710		565.0379910469	1637270.0000000000"
2016-06-22 10:30:42,"710		566.0380370617	1637210.0000000000"
2016-06-22 10:30:43,"715		567.0433070660	1637170.0000000000"
2016-06-22 10:30:44,"745		568.0734930038	1636460.0000000000"
2016-06-22 10:30:45,"729		569.0567810535	1637680.0000000000"
2016-06-22 10:30:46,"712		570.0401139259	1638390.0000000000"
2016-06-22 10:30:47,"712		571.0403008461	1637460.0000000000"
2016-06-22 10:30:48,"709		572.0375699997	1640550.0000000000"
2016-06-22 10:30:49,"711		573.0388269424	1637370.0000000000"
2016-06-22 10:30:50,"722		574.0501260757	1636840.0000000000"
2016-06-22 10:30:51,"709		575.0372929573	1636690.0000000000"
2016-06-22 10:30:52,"714		576.0424668789	1637730.0000000000"
2016-06-22 10:30:53,"709		577.0377049446	1636170.0000000000"
2016-06-22 10:30:54,"713		578.0408749580	1635880.0000000000"
2016-06-22 10:30:55,"709		579.0371670723	1635910.0000000000"
2016-06-22 10:30:56,"737		580.0653650761	1635080.0000000000"
2016-06-22 10:30:57,"719		581.0476479530	1635050.0000000000"
2016-06-22 10:30:58,"710		582.0378520489	1635910.0000000000"
2016-06-22 10:30:59,"715		583.0429940224	1635640.0000000000"
2016-06-22 10:31:00,"709		584.0372939110	1635140.0000000000"
2016-06-22 10:31:01,"734		585.0625278950	1635530.0000000000"
2016-06-22 10:31:02,"714		586.0417790413	1634690.0000000000"
2016-06-22 10:31:03,"712		587.0399708748	1635010.0000000000"
2016-06-22 10:31:04,"709		588.0371470451	1636590.0000000000"
2016-06-22 10:31:05,"710		589.0383939743	1637680.0000000000"
2016-06-22 10:31:06,"715		590.0436589718	1636520.0000000000"
2016-06-22 10:31:07,"746		591.0738549232	1638490.0000000000"
2016-06-22 10:31:08,"728		592.0561089516	1638830.0000000000"
2016-06-22 10:31:09,"711		593.0393290520	1638890.0000000000"
2016-06-22 10:31:10,"712		594.0406429768	1639120.0000000000"
2016-06-22 10:31:11,"709		595.0369229317	1640090.0000000000"
2016-06-22 10:31:12,"711		596.0391168594	1638470.0000000000"
2016-06-22 10:31:13,"726		597.0542778969	1638850.0000000000"
2016-06-22 10:31:14,"709		598.0376009941	1638390.0000000000"
2016-06-22 10:31:15,"714		599.0418219566	1636310.0000000000"
2016-06-22 10:31:16,"709		600.0370719433	1636620.0000000000"
2016-06-22 10:31:17,"713		601.0411930084	1636250.0000000000"
2016-06-22 10:31:18,"709		602.0374989510	1636260.0000000000"
2016-06-22 10:31:19,"737		603.0657389164	1636970.0000000000"
2016-06-22 10:31:20,"720		604.0479669571	1637600.0000000000"
2016-06-22 10:31:21,"710		605.0381259918	1636060.0000000000"
2016-06-22 10:31:22,"714		606.0423460007	1636250.0000000000"
2016-06-22 10:31:23,"709		607.0375978947	1636700.0000000000"
2016-06-22 10:31:24,"735		608.0627908707	1637370.0000000000"
2016-06-22 10:31:25,"718		609.0460379124	1638510.0000000000"
2016-06-22 10:31:26,"712		610.0402450562	1638460.0000000000"
2016-06-22 10:31:27,"710		611.0383698940	1636570.0000000000"
2016-06-22 10:31:28,"710		612.0386819839	1636270.0000000000"
2016-06-22 10:31:29,"709		613.0369539261	1635900.0000000000"
2016-06-22 10:31:30,"746		614.0741469860	1637120.0000000000"
2016-06-22 10:31:31,"729		615.0573830605	1636630.0000000000"
2016-06-22 10:31:32,"711		616.0397160053	1635780.0000000000"
2016-06-22 10:31:33,"713		617.0409410000	1636680.0000000000"
2016-06-22 10:31:34,"709		618.0371320248	1639380.0000000000"
2016-06-22 10:31:35,"711		619.0393140316	1637060.0000000000"
2016-06-22 10:31:36,"722		620.0505578518	1635830.0000000000"
2016-06-22 10:31:37,"710		621.0378320217	1637410.0000000000"
2016-06-22 10:31:38,"715		622.0431249142	1634150.0000000000"
2016-06-22 10:31:39,"709		623.0373780727	1633380.0000000000"
2016-06-22 10:31:40,"713		624.0415270329	1634920.0000000000"
2016-06-22 10:31:41,"709		625.0376970768	1633910.0000000000"
2016-06-22 10:31:42,"738		626.0658569336	1634000.0000000000"
2016-06-22 10:31:43,"721		627.0491440296	1634030.0000000000"
2016-06-22 10:31:44,"710		628.0383749008	1634270.0000000000"
2016-06-22 10:31:45,"715		629.0436339378	1634140.0000000000"
2016-06-22 10:31:46,"709		630.0368790627	1633540.0000000000"
2016-06-22 10:31:47,"735		631.0630350113	1633350.0000000000"
2016-06-22 10:31:48,"714		632.0422718525	1632450.0000000000"
2016-06-22 10:31:49,"712		633.0404980183	1632130.0000000000"
2016-06-22 10:31:50,"709		634.0377008915	1632420.0000000000"
2016-06-22 10:31:51,"711		635.0389339924	1631120.0000000000"
2016-06-22 10:31:52,"709		636.0371389389	1634860.0000000000"
2016-06-22 10:31:53,"746		637.0743079185	1634320.0000000000"
2016-06-22 10:31:54,"729		638.0576238632	1633880.0000000000"
2016-06-22 10:31:55,"713		639.0408608913	1633590.0000000000"
2016-06-22 10:31:56,"713		640.0411250591	1634530.0000000000"
2016-06-22 10:31:57,"709		641.0372369289	1634050.0000000000"
2016-06-22 10:31:58,"712		642.0404238701	1632540.0000000000"
2016-06-22 10:31:59,"726		643.0546228886	1632960.0000000000"
2016-06-22 10:32:00,"710		644.0378329754	1632160.0000000000"
2016-06-22 10:32:01,"715		645.0431180000	1631500.0000000000"
2016-06-22 10:32:02,"709		646.0373010635	1631070.0000000000"
2016-06-22 10:32:03,"713		647.0415160656	1631820.0000000000"
2016-06-22 10:32:04,"709		648.0377089977	1631540.0000000000"
2016-06-22 10:32:05,"738		649.0660068989	1632380.0000000000"
2016-06-22 10:32:06,"721		650.0492050648	1632510.0000000000"
2016-06-22 10:32:07,"710		651.0384860039	1634310.0000000000"
2016-06-22 10:32:08,"715		652.0437400341	1634070.0000000000"
2016-06-22 10:32:09,"709		653.0370090008	1635380.0000000000"
2016-06-22 10:32:10,"736		654.0641670227	1634030.0000000000"
2016-06-22 10:32:11,"718		655.0464458466	1632260.0000000000"
2016-06-22 10:32:12,"712		656.0405969620	1632400.0000000000"
2016-06-22 10:32:13,"708		657.0367419720	1633840.0000000000"
2016-06-22 10:32:14,"711		658.0389959812	1635580.0000000000"
2016-06-22 10:32:15,"710		659.0382249355	1633730.0000000000"
2016-06-22 10:32:16,"747		660.0754230022	1633150.0000000000"
2016-06-22 10:32:17,"729		661.0576999187	1633950.0000000000"
2016-06-22 10:32:18,"713		662.0409929752	1634740.0000000000"
2016-06-22 10:32:19,"713		663.0411539078	1634800.0000000000"
2016-06-22 10:32:20,"709		664.0374269485	1635820.0000000000"
2016-06-22 10:32:21,"712		665.0405969620	1637370.0000000000"
2016-06-22 10:32:22,"727		666.0548729897	1636430.0000000000"
2016-06-22 10:32:23,"710		667.0381350517	1634470.0000000000"
2016-06-22 10:32:24,"715		668.0433728695	1634380.0000000000"
2016-06-22 10:32:25,"709		669.0376529694	1633830.0000000000"
2016-06-22 10:32:26,"713		670.0417630672	1633990.0000000000"
2016-06-22 10:32:27,"710		671.0380010605	1633800.0000000000"
2016-06-22 10:32:28,"738		672.0661768913	1635030.0000000000"
2016-06-22 10:32:29,"721		673.0493350029	1633480.0000000000"
2016-06-22 10:32:30,"711		674.0396800041	1631550.0000000000"
2016-06-22 10:32:31,"709		675.0369598866	1632240.0000000000"
2016-06-22 10:32:32,"709		676.0371968746	1632040.0000000000"
2016-06-22 10:32:33,"736		677.0642778873	1632690.0000000000"
2016-06-22 10:32:34,"714		678.0426268578	1632220.0000000000"
2016-06-22 10:32:35,"713		679.0409078598	1635180.0000000000"
2016-06-22 10:32:36,"709		680.0371570587	1633280.0000000000"
2016-06-22 10:32:37,"711		681.0393500328	1629860.0000000000"
2016-06-22 10:32:38,"709		682.0375280380	1630390.0000000000"
2016-06-22 10:32:39,"747		683.0747740269	1631280.0000000000"
2016-06-22 10:32:40,"730		684.0579638481	1631390.0000000000"
2016-06-22 10:32:41,"713		685.0412290096	1633270.0000000000"
2016-06-22 10:32:42,"713		686.0414710045	1632800.0000000000"
2016-06-22 10:32:43,"709		687.0376789570	1633220.0000000000"
2016-06-22 10:32:44,"713		688.0409338474	1634870.0000000000"
2016-06-22 10:32:45,"727		689.0551550388	1634450.0000000000"
2016-06-22 10:32:46,"711		690.0393519402	1633100.0000000000"
2016-06-22 10:32:47,"715		691.0436038971	1632570.0000000000"
2016-06-22 10:32:48,"710		692.0378139019	1632600.0000000000"
2016-06-22 10:32:49,"714		693.0420079231	1632210.0000000000"
2016-06-22 10:32:50,"709		694.0371749401	1632650.0000000000"
2016-06-22 10:32:51,"739		695.0673329830	1631630.0000000000"
2016-06-22 10:32:52,"721		696.0495328903	1633000.0000000000"
2016-06-22 10:32:53,"711		697.0397310257	1631340.0000000000"
2016-06-22 10:32:54,"709		698.0370299816	1631540.0000000000"
2016-06-22 10:32:55,"710		699.0381779671	1632340.0000000000"
2016-06-22 10:32:56,"736		700.0644550323	1633340.0000000000"
2016-06-22 10:32:57,"718		701.0466818810	1633080.0000000000"
2016-06-22 10:32:58,"714		702.0418870449	1631660.0000000000"
2016-06-22 10:32:59,"709		703.0371608734	1632300.0000000000"
2016-06-22 10:33:00,"712		704.0403409004	1631780.0000000000"
2016-06-22 10:33:01,"710		705.0385849476	1632300.0000000000"
2016-06-22 10:33:02,"748		706.0757799149	1632660.0000000000"
2016-06-22 10:33:03,"731		707.0590169430	1633280.0000000000"
2016-06-22 10:33:04,"713		708.0412318707	1633290.0000000000"
2016-06-22 10:33:05,"714		709.0423910618	1632600.0000000000"
2016-06-22 10:33:06,"709		710.0376300812	1630310.0000000000"
2016-06-22 10:33:07,"713		711.0409009457	1629640.0000000000"
2016-06-22 10:33:08,"724		712.0521378517	1630240.0000000000"
2016-06-22 10:33:09,"711		713.0392420292	1630280.0000000000"
2016-06-22 10:33:10,"709		714.0374660492	1629800.0000000000"
2016-06-22 10:33:11,"709		715.0377058983	1628240.0000000000"
2016-06-22 10:33:12,"715		716.0430669785	1631630.0000000000"
2016-06-22 10:33:13,"709		717.0372240543	1631120.0000000000"
2016-06-22 10:33:14,"739		718.0673000813	1630130.0000000000"
2016-06-22 10:33:15,"721		719.0496840477	1629050.0000000000"
2016-06-22 10:33:16,"712		720.0398409367	1629540.0000000000"
2016-06-22 10:33:17,"709		721.0371620655	1629550.0000000000"
2016-06-22 10:33:18,"710		722.0382809639	1629220.0000000000"
2016-06-22 10:33:19,"736		723.0645570755	1627940.0000000000"
2016-06-22 10:33:20,"715		724.0437309742	1629850.0000000000"
2016-06-22 10:33:21,"714		725.0419600010	1630420.0000000000"
2016-06-22 10:33:22,"709		726.0370910168	1629710.0000000000"
2016-06-22 10:33:23,"712		727.0403280258	1632980.0000000000"
2016-06-22 10:33:24,"709		728.0375349522	1630820.0000000000"
2016-06-22 10:33:25,"747		729.0757319927	1630270.0000000000"
2016-06-22 10:33:26,"731		730.0588939190	1630670.0000000000"
2016-06-22 10:33:27,"713		731.0411469936	1628290.0000000000"
2016-06-22 10:33:28,"714		732.0424039364	1628960.0000000000"
2016-06-22 10:33:29,"709		733.0376329422	1629610.0000000000"
2016-06-22 10:33:30,"713		734.0408899784	1629700.0000000000"
2016-06-22 10:33:31,"728		735.0560410023	1629870.0000000000"
2016-06-22 10:33:32,"711		736.0392310619	1629550.0000000000"
2016-06-22 10:33:33,"709		737.0373718739	1629390.0000000000"
2016-06-22 10:33:34,"710		738.0386359692	1629000.0000000000"
2016-06-22 10:33:35,"715		739.0428180695	1628890.0000000000"
2016-06-22 10:33:36,"709		740.0369658470	1628950.0000000000"
2016-06-22 10:33:37,"739		741.0671708584	1628770.0000000000"
2016-06-22 10:33:38,"722		742.0504598618	1628760.0000000000"
2016-06-22 10:33:39,"712		743.0397689342	1627150.0000000000"
2016-06-22 10:33:40,"709		744.0370759964	1627140.0000000000"
2016-06-22 10:33:41,"711		745.0391950607	1628040.0000000000"
2016-06-22 10:33:42,"733		746.0614099503	1628120.0000000000"
2016-06-22 10:33:43,"719		747.0476520061	1628450.0000000000"
2016-06-22 10:33:44,"714		748.0418989658	1628090.0000000000"
2016-06-22 10:33:45,"709		749.0371420383	1628440.0000000000"
2016-06-22 10:33:46,"712		750.0402860641	1628520.0000000000"
2016-06-22 10:33:47,"709		751.0375549793	1628210.0000000000"
2016-06-22 10:33:48,"748		752.0767009258	1628730.0000000000"
2016-06-22 10:33:49,"731		753.0590338707	1628880.0000000000"
2016-06-22 10:33:50,"714		754.0422830582	1628710.0000000000"
2016-06-22 10:33:51,"714		755.0424208641	1629380.0000000000"
2016-06-22 10:33:52,"709		756.0376620293	1629830.0000000000"
2016-06-22 10:33:53,"714		757.0418660641	1630620.0000000000"
2016-06-22 10:33:54,"725		758.0529990196	1630800.0000000000"
2016-06-22 10:33:55,"712		759.0402469635	1631510.0000000000"
2016-06-22 10:33:56,"709		760.0374360085	1630120.0000000000"
2016-06-22 10:33:57,"710		761.0386588573	1631220.0000000000"
2016-06-22 10:33:58,"709		762.0368959904	1630310.0000000000"
2016-06-22 10:33:59,"710		763.0381209850	1627640.0000000000"
2016-06-22 10:34:00,"739		764.0672349930	1626560.0000000000"
2016-06-22 10:34:01,"722		765.0503919125	1625380.0000000000"
2016-06-22 10:34:02,"712		766.0405938625	1627600.0000000000"
2016-06-22 10:34:03,"710		767.0377700329	1628000.0000000000"
2016-06-22 10:34:04,"711		768.0391008854	1627930.0000000000"
2016-06-22 10:34:05,"709		769.0373508930	1628970.0000000000"
2016-06-22 10:34:06,"716		770.0445358753	1629020.0000000000"
2016-06-22 10:34:07,"714		771.0427269936	1628770.0000000000"
2016-06-22 10:34:08,"709		772.0370008945	1628010.0000000000"
2016-06-22 10:34:09,"713		773.0411629677	1628000.0000000000"
2016-06-22 10:34:10,"709		774.0373940468	1627920.0000000000"
2016-06-22 10:34:11,"748		775.0766310692	1627530.0000000000"
2016-06-22 10:34:12,"731		776.0589020252	1628020.0000000000"
2016-06-22 10:34:13,"714		777.0421340466	1627760.0000000000"
2016-06-22 10:34:14,"715		778.0434019566	1628360.0000000000"
2016-06-22 10:34:15,"709		779.0376188755	1627840.0000000000"
2016-06-22 10:34:16,"714		780.0418739319	1627420.0000000000"
2016-06-22 10:34:17,"729		781.0570540428	1627290.0000000000"
2016-06-22 10:34:18,"712		782.0402679443	1626600.0000000000"
2016-06-22 10:34:19,"709		783.0374569893	1626770.0000000000"
2016-06-22 10:34:20,"710		784.0387239456	1626540.0000000000"
2016-06-22 10:34:21,"709		785.0368950367	1628180.0000000000"
2016-06-22 10:34:22,"710		786.0381190777	1626730.0000000000"
2016-06-22 10:34:23,"740		787.0682199001	1626470.0000000000"
2016-06-22 10:34:24,"723		788.0514490604	1627060.0000000000"
2016-06-22 10:34:25,"712		789.0406930447	1626800.0000000000"
2016-06-22 10:34:26,"709		790.0368950367	1625550.0000000000"
2016-06-22 10:34:27,"711		791.0390300751	1625750.0000000000"
2016-06-22 10:34:28,"709		792.0372619629	1628750.0000000000"
2016-06-22 10:34:29,"720		793.0485630035	1628960.0000000000"
2016-06-22 10:34:30,"715		794.0427749157	1628130.0000000000"
2016-06-22 10:34:31,"709		795.0369980335	1627970.0000000000"
2016-06-22 10:34:32,"713		796.0412168503	1627670.0000000000"
2016-06-22 10:34:33,"709		797.0374560356	1626830.0000000000"
2016-06-22 10:34:34,"748		798.0766799450	1625510.0000000000"
2016-06-22 10:34:35,"732		799.0598869324	1624700.0000000000"
2016-06-22 10:34:36,"715		800.0431370735	1626040.0000000000"
2016-06-22 10:34:37,"715		801.0432329178	1625260.0000000000"
2016-06-22 10:34:38,"709		802.0375180244	1624470.0000000000"
2016-06-22 10:34:39,"714		803.0427260399	1622370.0000000000"
2016-06-22 10:34:40,"726		804.0539848804	1622510.0000000000"
2016-06-22 10:34:41,"712		805.0401909351	1625000.0000000000"
2016-06-22 10:34:42,"709		806.0374698639	1625520.0000000000"
2016-06-22 10:34:43,"710		807.0387480259	1623140.0000000000"
2016-06-22 10:34:44,"709		808.0370039940	1623900.0000000000"
2016-06-22 10:34:45,"710		809.0381259918	1625340.0000000000"
2016-06-22 10:34:46,"740		810.0683128834	1625190.0000000000"
2016-06-22 10:34:47,"723		811.0515010357	1624860.0000000000"
2016-06-22 10:34:48,"712		812.0407519341	1624850.0000000000"
2016-06-22 10:34:49,"709		813.0370030403	1623590.0000000000"
2016-06-22 10:34:50,"712		814.0401239395	1624180.0000000000"
2016-06-22 10:34:51,"709		815.0374059677	1623300.0000000000"
2016-06-22 10:34:52,"716		816.0445990562	1623440.0000000000"
2016-06-22 10:34:53,"709		817.0367779732	1622790.0000000000"
2016-06-22 10:34:54,"709		818.0370049477	1622330.0000000000"
2016-06-22 10:34:55,"714		819.0421509743	1622060.0000000000"
2016-06-22 10:34:56,"709		820.0373890400	1622360.0000000000"
2016-06-22 10:34:57,"749		821.0775358677	1622020.0000000000"
2016-06-22 10:34:58,"731		822.0597269535	1622570.0000000000"
2016-06-22 10:34:59,"715		823.0429899693	1621990.0000000000"
2016-06-22 10:35:00,"709		824.0372259617	1623140.0000000000"
2016-06-22 10:35:01,"709		825.0375070572	1624730.0000000000"
2016-06-22 10:35:02,"714		826.0427260399	1624610.0000000000"
2016-06-22 10:35:03,"729		827.0569460392	1622810.0000000000"
2016-06-22 10:35:04,"713		828.0411689281	1622570.0000000000"
2016-06-22 10:35:05,"709		829.0373339653	1622580.0000000000"
2016-06-22 10:35:06,"711		830.0396158695	1621910.0000000000"
2016-06-22 10:35:07,"709		831.0377390385	1623310.0000000000"
2016-06-22 10:35:08,"711		832.0390059948	1625550.0000000000"
2016-06-22 10:35:09,"741		833.0691368580	1624310.0000000000"
2016-06-22 10:35:10,"723		834.0516040325	1623100.0000000000"
2016-06-22 10:35:11,"713		835.0410640240	1622590.0000000000"
2016-06-22 10:35:12,"709		836.0371999741	1622900.0000000000"
2016-06-22 10:35:13,"712		837.0404520035	1622380.0000000000"
2016-06-22 10:35:14,"709		838.0376698971	1622480.0000000000"
2016-06-22 10:35:15,"721		839.0488100052	1620640.0000000000"
2016-06-22 10:35:16,"709		840.0371229649	1620990.0000000000"
2016-06-22 10:35:17,"709		841.0373110771	1621260.0000000000"
2016-06-22 10:35:18,"713		842.0415029526	1620430.0000000000"
2016-06-22 10:35:19,"709		843.0375199318	1620650.0000000000"
2016-06-22 10:35:20,"750		844.0779640675	1621900.0000000000"
2016-06-22 10:35:21,"732		845.0601339340	1621790.0000000000"
2016-06-22 10:35:22,"715		846.0434238911	1621640.0000000000"
2016-06-22 10:35:23,"709		847.0376520157	1622170.0000000000"
2016-06-22 10:35:24,"710		848.0378859043	1622060.0000000000"
2016-06-22 10:35:25,"715		849.0430469513	1621830.0000000000"
