time,mass
2016-06-22 15:01:49,"951	ap01	328.0380411148	2213920.0000000000"
2016-06-22 15:01:50,"956	ap01	329.0433540344	2216400.0000000000"
2016-06-22 15:01:51,"967	ap01	330.0546181202	2216630.0000000000"
2016-06-22 15:01:52,"953	ap01	331.0410101414	2216330.0000000000"
2016-06-22 15:01:53,"950	ap01	332.0371701717	2214730.0000000000"
2016-06-22 15:01:54,"953	ap01	333.0404450893	2215800.0000000000"
2016-06-22 15:01:55,"950	ap01	334.0377511978	2214760.0000000000"
2016-06-22 15:01:56,"951	ap01	335.0389790535	2215000.0000000000"
2016-06-22 15:01:57,"982	ap01	336.0692160130	2214860.0000000000"
2016-06-22 15:01:58,"965	ap01	337.0525550842	2215530.0000000000"
2016-06-22 15:01:59,"954	ap01	338.0418300629	2216070.0000000000"
2016-06-22 15:02:00,"950	ap01	339.0371680260	2215780.0000000000"
2016-06-22 15:02:01,"953	ap01	340.0404710770	2214890.0000000000"
2016-06-22 15:02:02,"950	ap01	341.0377781391	2214890.0000000000"
2016-06-22 15:02:03,"958	ap01	342.0460162163	2215070.0000000000"
2016-06-22 15:02:04,"950	ap01	343.0373311043	2214840.0000000000"
2016-06-22 15:02:05,"950	ap01	344.0376300812	2213020.0000000000"
2016-06-22 15:02:06,"955	ap01	345.0428800583	2214380.0000000000"
2016-06-22 15:02:07,"950	ap01	346.0371220112	2214310.0000000000"
2016-06-22 15:02:08,"991	ap01	347.0782911777	2214710.0000000000"
2016-06-22 15:02:09,"973	ap01	348.0608110428	2215280.0000000000"
2016-06-22 15:02:10,"957	ap01	349.0440580845	2215350.0000000000"
2016-06-22 15:02:11,"950	ap01	350.0373342037	2215870.0000000000"
2016-06-22 15:02:12,"951	ap01	351.0385541916	2215590.0000000000"
2016-06-22 15:02:13,"956	ap01	352.0438351631	2215010.0000000000"
2016-06-22 15:02:14,"968	ap01	353.0550670624	2214210.0000000000"
2016-06-22 15:02:15,"954	ap01	354.0414340496	2215070.0000000000"
2016-06-22 15:02:16,"950	ap01	355.0377051830	2213740.0000000000"
2016-06-22 15:02:17,"952	ap01	356.0399680138	2213360.0000000000"
2016-06-22 15:02:18,"950	ap01	357.0372500420	2214400.0000000000"
2016-06-22 15:02:19,"952	ap01	358.0394802094	2213220.0000000000"
2016-06-22 15:02:20,"982	ap01	359.0697610378	2213860.0000000000"
2016-06-22 15:02:21,"966	ap01	360.0530300140	2214690.0000000000"
2016-06-22 15:02:22,"955	ap01	361.0423312187	2214300.0000000000"
2016-06-22 15:02:23,"950	ap01	362.0376541615	2214210.0000000000"
2016-06-22 15:02:24,"953	ap01	363.0410170555	2214600.0000000000"
2016-06-22 15:02:25,"950	ap01	364.0372869968	2214780.0000000000"
2016-06-22 15:02:26,"959	ap01	365.0465071201	2214840.0000000000"
2016-06-22 15:02:27,"950	ap01	366.0377790928	2214070.0000000000"
2016-06-22 15:02:28,"950	ap01	367.0380032063	2214300.0000000000"
2016-06-22 15:02:29,"956	ap01	368.0433340073	2213660.0000000000"
2016-06-22 15:02:30,"950	ap01	369.0376121998	2213660.0000000000"
2016-06-22 15:02:31,"991	ap01	370.0789120197	2213930.0000000000"
2016-06-22 15:02:32,"974	ap01	371.0611591339	2214020.0000000000"
2016-06-22 15:02:33,"957	ap01	372.0445451736	2215620.0000000000"
2016-06-22 15:02:34,"950	ap01	373.0378069878	2214470.0000000000"
2016-06-22 15:02:35,"952	ap01	374.0390610695	2214960.0000000000"
2016-06-22 15:02:36,"950	ap01	375.0373380184	2214710.0000000000"
2016-06-22 15:02:37,"967	ap01	376.0546569824	2214300.0000000000"
