time,mass
2015-10-23 13:22:34 ,"653	eg06	235.0443110466	5827200.0000000000"
2015-10-23 13:22:35 ,"664	eg06	236.0553200245	5828700.0000000000"
2015-10-23 13:22:36 ,"651	eg06	237.0423071384	5827600.0000000000"
2015-10-23 13:22:37 ,"646	eg06	238.0373520851	5826700.0000000000"
2015-10-23 13:22:38 ,"649	eg06	239.0403010845	5825900.0000000000"
2015-10-23 13:22:39 ,"646	eg06	240.0371840000	5825000.0000000000"
2015-10-23 13:22:40 ,"649	eg06	241.0400919914	5824300.0000000000"
2015-10-23 13:22:41 ,"678	eg06	242.0690250397	5828500.0000000000"
2015-10-23 13:22:42 ,"661	eg06	243.0519680977	5826000.0000000000"
2015-10-23 13:22:43 ,"651	eg06	244.0420081615	5826900.0000000000"
2015-10-23 13:22:44 ,"646	eg06	245.0369560719	5826100.0000000000"
2015-10-23 13:22:45 ,"650	eg06	246.0408840179	5825800.0000000000"
2015-10-23 13:22:46 ,"646	eg06	247.0368630886	5828400.0000000000"
2015-10-23 13:22:47 ,"655	eg06	248.0458421707	5831600.0000000000"
2015-10-23 13:22:48 ,"645	eg06	249.0367791653	5830800.0000000000"
2015-10-23 13:22:49 ,"646	eg06	250.0377590656	5829700.0000000000"
2015-10-23 13:22:50 ,"651	eg06	251.0427801609	5829100.0000000000"
2015-10-23 13:22:51 ,"645	eg06	252.0367550850	5828600.0000000000"
2015-10-23 13:22:52 ,"686	eg06	253.0777029991	5828200.0000000000"
2015-10-23 13:22:53 ,"669	eg06	254.0606510639	5827700.0000000000"
2015-10-23 13:22:54 ,"652	eg06	255.0436341763	5827400.0000000000"
2015-10-23 13:22:55 ,"646	eg06	256.0377051830	5827200.0000000000"
2015-10-23 13:22:56 ,"646	eg06	257.0376570225	5826800.0000000000"
2015-10-23 13:22:57 ,"651	eg06	258.0427031517	5826600.0000000000"
2015-10-23 13:22:58 ,"662	eg06	259.0536720753	5826200.0000000000"
2015-10-23 13:22:59 ,"649	eg06	260.0405700207	5829800.0000000000"
2015-10-23 13:23:00 ,"646	eg06	261.0375730991	5829500.0000000000"
2015-10-23 13:23:01 ,"648	eg06	262.0394921303	5828300.0000000000"
2015-10-23 13:23:02 ,"647	eg06	263.0385131836	5827900.0000000000"
2015-10-23 13:23:03 ,"647	eg06	264.0385580063	5827100.0000000000"
2015-10-23 13:23:04 ,"677	eg06	265.0684170723	5826200.0000000000"
2015-10-23 13:23:05 ,"660	eg06	266.0514149666	5825800.0000000000"
2015-10-23 13:23:06 ,"650	eg06	267.0414199829	5829500.0000000000"
2015-10-23 13:23:07 ,"646	eg06	268.0373620987	5828900.0000000000"
2015-10-23 13:23:08 ,"648	eg06	269.0393359661	5828100.0000000000"
2015-10-23 13:23:09 ,"646	eg06	270.0373830795	5827200.0000000000"
2015-10-23 13:23:10 ,"653	eg06	271.0443191528	5826800.0000000000"
2015-10-23 13:23:11 ,"652	eg06	272.0433001518	5826200.0000000000"
