time,mass
2016-06-15 13:27:37,"453	sn13	275.0538890362	2534020.0000000000"
2016-06-15 13:27:38,"436	sn13	276.0368559361	2535280.0000000000"
2016-06-15 13:27:39,"441	sn13	277.0418550968	2535060.0000000000"
2016-06-15 13:27:40,"437	sn13	278.0377769470	2534570.0000000000"
2016-06-15 13:27:41,"440	sn13	279.0407071114	2533770.0000000000"
2016-06-15 13:27:42,"437	sn13	280.0376091003	2534170.0000000000"
2016-06-15 13:27:43,"465	sn13	281.0654799938	2533750.0000000000"
2016-06-15 13:27:44,"447	sn13	282.0483059883	2533660.0000000000"
2016-06-15 13:27:45,"437	sn13	283.0382840633	2534190.0000000000"
2016-06-15 13:27:46,"442	sn13	284.0431571007	2534180.0000000000"
2016-06-15 13:27:47,"436	sn13	285.0370900631	2534240.0000000000"
2016-06-15 13:27:48,"462	sn13	286.0629580021	2533820.0000000000"
2016-06-15 13:27:49,"445	sn13	287.0458569527	2533900.0000000000"
2016-06-15 13:27:50,"439	sn13	288.0397279263	2533540.0000000000"
2016-06-15 13:27:51,"437	sn13	289.0377180576	2533650.0000000000"
2016-06-15 13:27:52,"438	sn13	290.0386090279	2534180.0000000000"
2016-06-15 13:27:53,"444	sn13	291.0444519520	2534350.0000000000"
2016-06-15 13:27:54,"474	sn13	292.0744340420	2534230.0000000000"
2016-06-15 13:27:55,"456	sn13	293.0563800335	2534370.0000000000"
2016-06-15 13:27:56,"439	sn13	294.0393860340	2533880.0000000000"
2016-06-15 13:27:57,"440	sn13	295.0412571430	2533770.0000000000"
2016-06-15 13:27:58,"436	sn13	296.0371999741	2534510.0000000000"
2016-06-15 13:27:59,"439	sn13	297.0400819778	2533810.0000000000"
2016-06-15 13:28:00,"450	sn13	298.0510239601	2534020.0000000000"
2016-06-15 13:28:01,"437	sn13	299.0379850864	2533410.0000000000"
2016-06-15 13:28:02,"442	sn13	300.0428581238	2533700.0000000000"
2016-06-15 13:28:03,"436	sn13	301.0368080139	2533660.0000000000"
2016-06-15 13:28:04,"441	sn13	302.0416710377	2533580.0000000000"
2016-06-15 13:28:05,"436	sn13	303.0364980698	2533800.0000000000"
2016-06-15 13:28:06,"464	sn13	304.0652949810	2534880.0000000000"
2016-06-15 13:28:07,"447	sn13	305.0483069420	2534430.0000000000"
2016-06-15 13:28:08,"437	sn13	306.0382380486	2533980.0000000000"
2016-06-15 13:28:09,"442	sn13	307.0432109833	2533620.0000000000"
2016-06-15 13:28:10,"436	sn13	308.0371649265	2533260.0000000000"
